id_producto;nombre;precio;categoria_actual;subcategoria_actual;categoria_nueva;subcategoria_nueva
ME-4039;Pañales bebé talla 1 de 2-4 kg Deliplus;6.6;Bebes;Pañales;;
ME-4034;Pañales bebé talla 1 de 2-5 kg Dodot;20.95;Bebes;Pañales;;
ME-4035;Pañales bebé talla 2 de 3-6 kg Deliplus;6.9;Bebes;Pañales;;
ME-4036;Pañales bebé talla 2 de 4-8 kg Dodot;20.95;Bebes;Pañales;;
ME-4038;Pañales bebé talla 3 de 4-10 kg Deliplus;6.95;Bebes;Pañales;;
ME-4037;Pañales bebé talla 3 de 6-10 kg Dodot;20.95;Bebes;Pañales;;
ME-4059;Pañales bebé talla 4 de 9-14 kg Dodot;18.95;Bebes;Pañales;;
ME-4057;Pañales bebé talla 4 de 9-15 kg Deliplus;16.95;Bebes;Pañales;;
ME-4061;Pañales bebé talla 5 de 11-16 kg Dodot;18.95;Bebes;Pañales;;
ME-4060;Pañales bebé talla 5 de 13-18 kg Deliplus;17.5;Bebes;Pañales;;
ME-4063;Pañales bebé talla 6 de 13-18 kg Dodot;18.95;Bebes;Pañales;;
ME-4062;Pañales bebé talla 6 de 17-28 kg Deliplus;6.3;Bebes;Pañales;;
ME-0391;Panceta adobada torrezno;4.2;Carnicería y Charcutería;Charcuteria;;
ME-2132;Panceta curada sin corteza La Selva lonchas;2.65;Carnicería y Charcutería;Charcuteria;;
ME-0372;Panceta de cerdo;3.03;Carnicería y Charcutería;Cerdo;;
ME-0388;Panceta fina sin corteza corte fino;3.15;Carnicería y Charcutería;Charcuteria;;
ME-2130;Panceta oreada;3.47;Carnicería y Charcutería;Charcuteria;;
ME-1576;Panceta salada ibérica La Hacienda del ibérico;3.6;Carnicería y Charcutería;Charcuteria;;
ME-0545;Panecillo de queso 18%;0.5;Lácteos y Huevos;Quesos;;
ME-0552;Panecillo de trigo integral 30%;0.35;Panadería y Pastelería;Pan fresco;;
ME-0549;Panecillo harina integral 50% de trigo sin sal añadida;0.33;Panadería y Pastelería;Pan fresco;;
ME-0560;Panecillo sin sal añadida;0.42;Panadería y Pastelería;Pan fresco;;
ME-0772;Panecillo tostado 100% integral de trigo Hacendado;1.13;Panadería y Pastelería;Pan fresco;;
ME-0767;Panecillo tostado classic Hacendado;1.13;Panadería y Pastelería;Pan fresco;;
ME-0771;Panecillos tostados cereales y semillas Hacendado;1.28;Panadería y Pastelería;Pan fresco;;
ME-3414;Panela azúcar moreno de caña integral Hacendado;2.05;Panadería y Pastelería;Pan fresco;;
ME-0858;Panes especiales con tomate y orégano Hacendado;0.85;Frutas y Verduras;Verduras;;
ME-0859;Panes especiales sabor pizza con queso Hacendado;0.85;Platos preparados;Platos congelados preparados;;
ME-1629;Panna Cotta con caramelo Hacendado;1.2;Panadería y Pastelería;Pan fresco;;
ME-4340;Paño seca vajillas Bosque Verde;1.9;Bazar y Varios;Otros bazar;;
ME-4378;Pañuelos de papel Aloe Vera Bosque Verde;1.6;Bazar y Varios;Otros bazar;;
ME-4377;Pañuelos de papel Extra Suaves Bosque Verde;1.25;Bazar y Varios;Otros bazar;;
ME-4380;Pañuelos de papel Mentol Bosque Verde;1.8;Bazar y Varios;Otros bazar;;
ME-0109;Papaya;2.97;Frutas y Verduras;Fruta;;
ME-4370;Papel cocina Gigante Absorbente Bosque Verde;2.9;Desayuno y Snack;Té e infusiones;;
ME-4435;Papel de aluminio Bosque Verde;2.2;Bazar y Varios;Otros bazar;;
ME-4374;Papel higiénico Comfort Bosque Verde;2.9;Bazar y Varios;Otros bazar;;
ME-4371;Papel higiénico Doble Rollo Bosque Verde;4.5;Bazar y Varios;Otros bazar;;
ME-1151;Papel higiénico húmedo WC Bosque Verde;1.55;Bazar y Varios;Otros bazar;;
ME-4373;Papel higiénico Suave Bosque Verde;3.55;Bazar y Varios;Otros bazar;;
ME-4368;Papel hogar Compacto Absorbente Bosque Verde;2.3;Desayuno y Snack;Té e infusiones;;
ME-4369;Papel Multiusos Resistente Bosque Verde;3.6;Desayuno y Snack;Té e infusiones;;
ME-4437;Papel vegetal Bosque Verde;1.7;Bazar y Varios;Otros bazar;;
ME-4065;Papilla 8 cereales con galleta María Nestlé +6 meses;5.75;Desayuno y Snack;Galletas dulces;;
ME-4066;Papilla 8 cereales con miel Nestlé +6 meses;5.75;Desayuno y Snack;Cereales para desayuno;;
ME-4067;Papilla 8 cereales Hero Solo +6 meses;3.9;Desayuno y Snack;Cereales para desayuno;;
ME-4005;Papilla arroz con pollo Hero Solo +6 meses;1.85;Bebes;Comida infantil;;
ME-4015;Papilla cuatro frutas con avena Hacendado +8 meses;2.9;Bazar y Varios;Otros bazar;;
ME-4011;Papilla fresa y plátano Hacendado +8 meses;0.9;Frutas y Verduras;Fruta;;
ME-4014;Papilla fruta variada Hacendado +4 meses;2.85;Bazar y Varios;Otros bazar;;
ME-4012;Papilla fruta variada Hacendado +6 meses;0.9;Bazar y Varios;Otros bazar;;
ME-4010;Papilla lentejas con verduritas Hero Solo recetas caseras +8 meses;3.3;Despensa;Legumbres secas;;
ME-4017;Papilla pera y manzana Hacendado +4 meses;2.85;Frutas y Verduras;Fruta;;
ME-4013;Papilla plátano y manzana Hacendado +6 meses;0.9;Frutas y Verduras;Fruta;;
ME-4018;Papilla plátano, fresa, arándanos y avena Hacendado +8 meses;0.9;Frutas y Verduras;Fruta;;
ME-4016;Papilla plátano, mandarina y pera Hacendado +4 meses;2.85;Frutas y Verduras;Fruta;;
ME-4068;Papilla sin gluten crema de arroz Hero Solo +4 meses;2.95;Despensa;Arroz, pasta y quinoa;;
ME-4019;Papilla tres frutas con yogur Hacendado +8 meses;2.9;Lácteos y Huevos;Yogures;;
ME-4007;Papilla verduritas con delicias de pavo Hero Solo natur +6 meses;1.85;Bebes;Comida infantil;;
