id_dia,nombre_dia,id_catalogo,nombre_catalogo,score
204541,Cous cous marroquí Trevijano 300 g,2380,Cous cous mediano Hacendado,71.1
310674,Tallarines Gallo 400 g,2511,Tallarines Hacendado,76.9
302017,Pasta de dientes Colgate Triple Action tubo 100 ml,794,Dentífrico Triple Acción Colgate menta intensa,71.9
155149,Aceitunas rellenas de anchoa La española 150 g,1420,Aceitunas verdes rellenas de anchoa Hacendado,74.7
69057,Aceitunas rellenas de anchoa Dia Vegecampo 3 x 50 g,1420,Aceitunas verdes rellenas de anchoa Hacendado,81.0
302193,Aceitunas rellenas de anchoa grandes Dia Vegecampo 150 g,1420,Aceitunas verdes rellenas de anchoa Hacendado,75.3
150917,Caldo de cocido Gallina Blanca 1 L,3084,Caldo de pollo casero Gallina Blanca,78.8
308783,Caldo gourmet de cocido Gallina Blanca 1 L,3084,Caldo de pollo casero Gallina Blanca,75.7
217167,Caldo de cocido Gallina Blanca 2 L,3084,Caldo de pollo casero Gallina Blanca,78.8
295308,Pastillas de caldo de carne Dia Al Punto 24 unidades,3092,Caldo de carne Hacendado en pastillas,71.2
262784,Mix Ups snacks sabor queso 125 g,1049,Snack Balls sabor queso Hacendado,73.5
141492,Lay's 3D's sabor queso y bacon 28 g,1032,Conos sabor bacón y queso Hacendado,76.4
64783,Palomitas con sal para microondas Popitas 300 g,1304,Palomitas de maíz con sal Hacendado para microondas,80.5
4670,Maíz para palomitas Dia Snack Maniac 500 g,1304,Palomitas de maíz con sal Hacendado para microondas,72.7
296059,Snack para gatos rellenos con pollo y malta Deligato de Dia bolsa 60 g,3544,Snacks gato rellenos con pollo y malta Compy,73.8
122725,Patatas fritas onduladas Dia Snack Maniac 180 g,1025,Patatas fritas onduladas sabor campestre Hacendado,71.6
162083,Pipas gigantes con sal Dia Snack Maniac 200 g,1299,Pipas girasol tostadas Hacendado gigante con sal,70.1
277767,Cacahuetes fritos con miel Dia Snack Maniac 200 g,1319,Cacahuete frito con miel Hacendado,71.6
286894,Maíz frito sabor barbacoa Dia Snack Maniac 170 g,1028,Tiras de maíz frito sabor barbacoa Hacendado,76.3
3165,Patatas fritas Santa Ana 270 g,1022,Patatas fritas 0% sal añadida Hacendado,79.2
142050,Pepinillos y cebollitas Dia Vegecampo 380 g,1451,Mix de pepinillos y cebollitas Hacendado,77.6
303692,Pepinillos agridulces Hugo reitzel 360 g,1453,Pepinillos agridulces Hacendado,76.4
298160,Piparras Rioverde 120 g,141,Espárragos verdes finos,70.0
308480,Ajos aliñados Rioverde 220 g,1449,Ajos aliñados Hacendado,74.3
146920,Aceitunas rellenas de anchoa Jolca 130 g,1420,Aceitunas verdes rellenas de anchoa Hacendado,81.2
142058,Aceitunas negras sin hueso Dia Vegecampo 150 g,1435,Aceitunas negras sin hueso Hacendado,78.8
116850,Aceitunas verdes sin hueso Dia Vegecampo 3 x 75 g,1421,Aceitunas verdes sin hueso Hacendado,76.5
273264,Aceitunas rellenas de anchoa suave Dia Vegecampo 150 g,1422,Aceitunas verdes rellenas de anchoa Hacendado reducidas en sal,78.0
273617,Aceitunas rellenas de anchoa suave Dia Vegecampo 3 x 50 g,1422,Aceitunas verdes rellenas de anchoa Hacendado reducidas en sal,76.5
302192,Aceitunas camperas sin hueso Dia Vegecampo 150 g,1426,Aceitunas verdes sin hueso aliñadas Hacendado,72.7
20654,Aceitunas con hueso Jolca 120 g,1429,Aceitunas verdes con hueso Hacendado,78.4
273340,Aceitunas negras de Aragón Dia Vegecampo 250 g,1436,Aceitunas negras de Aragón Campo Nature,70.9
169170,Aceitunas rellenas de boquerón en vinagre El faro 150 g,333,Boquerones en vinagre Hacendado en aceite de girasol,74.7
64784,Aceitunas rellenas de anchoa La española 3 x 50 g,1420,Aceitunas verdes rellenas de anchoa Hacendado,72.7
308092,Aceitunas rellenas de gilda La española 130 g,1432,Aceitunas verdes rellenas de pepinillo Hacendado,72.7
44073,Aceitunas rellenas de anchoa suaves La española 130 g,1422,Aceitunas verdes rellenas de anchoa Hacendado reducidas en sal,78.8
308094,Aceitunas rellenas de anchoa suave Jolca 3 x 50 g,1420,Aceitunas verdes rellenas de anchoa Hacendado,80.5
