id,nombre_comercial,marca
6314,Caramelos sabor mentol y limón Iceberg de Dia bolsa 300 g,Iceberg de Dia
65654,Chicles sabor menta sin azúcar Orbit bolsa 5 unidades,Orbit
240822,Manzanilla Hornimans 40 unidades,Hornimans
273823,Cápsulas de café extra intenso Dia Arom'arte 20 unidades,Dia Arom'arte
108416,Edulcorante Dia bote 50 g,Dia
306383,Golosinas sandías Dia Marcelo Caramelo bolsa 100 g,Dia Marcelo Caramelo
302570,Chicles sabor hierbabuena sin azúcar Orbit bote 46 unidades,Orbit
306382,Golosinas besitos de fresa Dia Marcelo Caramelo bolsa 100 g,Dia Marcelo Caramelo
188688,Golosinas favoritos red&white Haribo bolsa 150 g,Haribo
301335,Nubes rellenas Fini bolsa 80 g,Fini
273824,Cápsulas de café fortissimo Dia Arom'arte 20 unidades,Dia Arom'arte
225077,Golosinas smile kit Fini bolsa 90 g,Fini
306398,Golosinas llamas  Dia Marcelo Caramelo bolsa 100 g,Dia Marcelo Caramelo
271236,Caramelo de goma relleno sabor cereza Dulciora Pikotas bolsa 100 g,Dulciora
152677,Golosinas favoritos Haribo bolsa 150 g,Haribo
302573,Chicles sabor menta sin azúcar Orbit bote 46 unidades,Orbit
273822,Cápsulas de café ristretto Dia Arom'arte 20 unidades,Dia Arom'arte
6453,Preparado para flan contiene caramelo líquido Royal caja 232.5 g,Royal
291770,Caramelos rellenos de miel Villa bolsa 100 g,Villa
110226,Infusión digestiva Dia Tetería 25 unidades,Dia Tetería
231490,Golosinas gatos sabor regaliz Trolli bolsa 100 g,Trolli
152674,Golosinas tropifrutti Haribo bolsa 150 g,Haribo
271744,Chicles de fresa sin azúcar Iceberg de Dia bote 70 unidades,Iceberg de Dia
289940,Café molido ecológico suave Mascaf 250 g,Mascaf
303594,Gominolas fruit & paradise mix Damel bolsa 135 g,Damel
295422,Té negro Dia Tetería 25 unidades,Dia Tetería
6077,Café molido natural Colombia Dia Arom'arte 250 g,Dia Arom'arte
161786,Caramelos de eucalipto y menta Iceberg de Dia bolsa 300 g,Iceberg de Dia
234196,Golosinas favoritos classic Haribo bolsa 150 g,Haribo
222956,Miel de eucalipto Mielove de Dia frasco 350 g,Mielove de Dia
196077,Golosinas favoritos pica Haribo bolsa 150 g,Haribo
265005,Crema de galletas para untar Lotus Biscoff bote 400 g,Lotus
