id_api,nombre_comercial,precio,precio_unidad,marca,url,categoria_ahorramas
,Salsa Ajonesa Chovi 250ml,1.89,"(7,56€/LITRO)|(9,56€/LITRO)",,https://www.ahorramas.com/salsa-ajonesa-chovi-250ml-86976.html,alimentacion
,Salsa para pizza Helios 380g,1.5,"(3,95€/KILO)|(4,87€/KILO)",,https://www.ahorramas.com/salsa-para-pizza-helios-380g-72586.html,alimentacion
,Galleta Chiquilín 525g,3.65,"(6,95€/KILO)",,https://www.ahorramas.com/galleta-chiquilin-525g-68386.html,alimentacion
,Sardinas en aceite de oliva Alipende 2 unidades 85g,2.19,"(12,88€/KG.PESO ESC)",,https://www.ahorramas.com/sardinas-en-aceite-de-oliva-alipende-2-unidades-85g-85415.html,alimentacion
,Yemas espárragos Celorrio 110g 6/12,2.29,"(20,82€/KG.PESO ESC)",,https://www.ahorramas.com/yemas-esparragos-celorrio-110g-6-12-3769.html,alimentacion
,Patatas fritas al punto de sal Lay´s 248g,2.89,"(11,65€/KILO)",,https://www.ahorramas.com/patatas-fritas-al-punto-de-sal-lays-248g-79778.html,alimentacion
,Almendra largueta tostada Alipende 200g,2.85,"(14,25€/KILO)",,https://www.ahorramas.com/almendra-largueta-tostada-alipende-200g-64721.html,alimentacion
,Galletas de chocolate con leche digestive Alipende 300g,1.4,"(4,67€/KILO)",,https://www.ahorramas.com/galletas-de-chocolate-con-leche-digestive-alipende-300g-74682.html,alimentacion
,Palmeritas Virgen del Brezo 250g hojaldre,2.6,"(10,40€/KILO)",,https://www.ahorramas.com/palmeritas-virgen-del-brezo-250g-hojaldre-42896.html,alimentacion
,Tomate natural triturado Passata Mutti 400g,2.99,"(7,48€/KILO)",,https://www.ahorramas.com/tomate-natural-triturado-passata-mutti-400g-67346.html,alimentacion
,Callos a la madrileña Litoral 370g,3.99,"(10,78€/KILO)|(12,84€/KILO)",,https://www.ahorramas.com/callos-a-la-madrilena-litoral-370g-74902.html,alimentacion
,Ketchup Heinz 460g,2.69,"(5,85€/KILO)|(6,50€/KILO)",,https://www.ahorramas.com/ketchup-heinz-460g-98060.html,alimentacion
,Arroz integral Sos 1kg,1.85,"(1,85€/KILO)|(2,08€/KILO)",,https://www.ahorramas.com/arroz-integral-sos-1kg-54767.html,alimentacion
,Chocolate con leche Milka 125g,1.59,"(12,72€/KILO)|(14,32€/KILO)",,https://www.ahorramas.com/chocolate-con-leche-milka-125g-75802.html,alimentacion
,Harina de maíz sin gluten Maizena 400g fina,2.45,"(6,13€/KILO)|(7,48€/KILO)",,https://www.ahorramas.com/harina-de-maiz-sin-gluten-maizena-400g-fina-158.html,alimentacion
,Snack de maíz chilli pepper sabor picante Doritos 140g,1.99,"(14,21€/KILO)",,https://www.ahorramas.com/snack-de-maiz-chilli-pepper-sabor-picante-doritos-140g-12353.html,alimentacion
,Pimentón Alipende lata 75g dulce,1.3,"(17,33€/KILO)",,https://www.ahorramas.com/pimenton-alipende-lata-75g-dulce-81424.html,alimentacion
,Pan pita con seis unidades y un peso de 400 gramos Star,1.75,"(4,38€/KILO)",,https://www.ahorramas.com/pan-pita-con-seis-unidades-y-un-peso-de-400-gramos-star-95569.html,alimentacion
,Cominos Alipende 45g molidos,0.75,"(16,67€/KILO)",,https://www.ahorramas.com/cominos-alipende-45g-molidos-81448.html,alimentacion
,Galleta Oreo 160g mini,1.95,"(12,19€/KILO)",,https://www.ahorramas.com/galleta-oreo-160g-mini-80197.html,alimentacion
,Sardinillas en aceite de oliva bajas en sal Alipende 2 unidades 62g,1.99,"(16,05€/KG.PESO ESC)",,https://www.ahorramas.com/sardinillas-en-aceite-de-oliva-bajas-en-sal-alipende-2-unidades-62g-85418.html,alimentacion
,Pizza Fresca 4 Quesos Casa Tarradellas 2x210 g,3.19,"(7,60€/KILO)",,https://www.ahorramas.com/pizza-fresca-4-quesos-casa-tarradellas-2x210-g-61505.html,alimentacion
,Atún claro Alipende pack 3 al natural,2.65,"(15,77€/KG.PESO ESC)",,https://www.ahorramas.com/atun-claro-alipende-pack-3-al-natural-83662.html,alimentacion
,Magdalenas sin azúcar añadido La Bella Easo 232g,2.79,"(12,03€/KILO)",,https://www.ahorramas.com/magdalenas-sin-azucar-anadido-la-bella-easo-232g-27113.html,alimentacion
,Manzanilla Alipende 20u con anís,0.85,"(0,04€/UNIDAD)",,https://www.ahorramas.com/manzanilla-alipende-20u-con-anis-2222.html,alimentacion
,Infusión de arándano-hibisco Hornimans 20 unidades,2.99,"(0,15€/UNIDAD)",,https://www.ahorramas.com/infusion-de-arandano-hibisco-hornimans-20-unidades-69200.html,alimentacion
,Café con leche Nescafé Dolce Gusto 30 cápsulas,8.55,"(28,50€/KILO)",,https://www.ahorramas.com/cafe-con-leche-nescafe-dolce-gusto-30-capsulas-39704.html,alimentacion
,Chocolatina Huesitos pack 10,2.79,"(13,95€/KILO)",,https://www.ahorramas.com/chocolatina-huesitos-pack-10-68486.html,alimentacion
,Cereales rellenos de chocolate Chocoflakes Cuétara 520g,3.89,"(7,48€/KILO)",,https://www.ahorramas.com/cereales-rellenos-de-chocolate-chocoflakes-cuetara-520g-58507.html,alimentacion
,Snack de maíz sin gluten super aspitos Aspil p6,1.45,"(40,28€/KILO)",,https://www.ahorramas.com/snack-de-maiz-sin-gluten-super-aspitos-aspil-p6-18718.html,alimentacion
,Pan hot dog brioche de 4 unid Dulcesol,1.7,"(6,80€/KILO)",,https://www.ahorramas.com/pan-hot-dog-brioche-de-4-unid-dulcesol-98135.html,alimentacion
,Patatas fritas onduladas sabor jamón Ruffles 243g,2.99,"(12,30€/KILO)",,https://www.ahorramas.com/patatas-fritas-onduladas-sabor-jamon-ruffles-243g-79777.html,alimentacion
,Galleta Tostarica Cuétara Oceanix 400+20%,3.99,"(8,31€/KILO)",,https://www.ahorramas.com/galleta-tostarica-cuetara-oceanix-40020-73456.html,alimentacion
,Cocido madrileño sin gluten Alipende 440g,1.9,"(4,32€/KILO)",,https://www.ahorramas.com/cocido-madrileno-sin-gluten-alipende-440g-47811.html,alimentacion
,Bizcochos Maydul 250g,1.5,"(6,00€/KILO)",,https://www.ahorramas.com/bizcochos-maydul-250g-74426.html,alimentacion
